movie_title,release_date,person_id,movie_id,person_name
"Avengers: Endgame","April 23, 2019",3,1,"Robert Downey Jr."
"Avengers: Age of Ultron","April 22, 2015",3,3,"Robert Downey Jr."
"Pirates of the Caribbean: At Worlds End","May 24, 2007",3,5,"Robert Downey Jr."
"Thor: Love and Thunder","July 1, 2022",3,18,"Robert Downey Jr."
"Avengers: Endgame","April 23, 2019",4,1,"Chris Evans"
"Thor: Love and Thunder","July 1, 2022",4,18,"Chris Evans"
"Avengers: Endgame","April 23, 2019",5,1,"Mark Ruffalo"
"Avengers: Age of Ultron","April 22, 2015",5,3,"Mark Ruffalo"
"Pirates of the Caribbean: On Stranger Tides","May 20, 2011",7,2,"Johnny Depp"
"Justice League","November 13, 2017",7,6,"Johnny Depp"
"Quantum of Solace","November 14, 2008",7,28,"Johnny Depp"
"Man of Steel","June 14, 2013",7,30,"Johnny Depp"
"The Amazing Spider-Man","June 27, 2012",7,33,"Johnny Depp"
"Pirates of the Caribbean: On Stranger Tides","May 20, 2011",8,2,"Penélope Cruz"
"Avengers: Age of Ultron","April 22, 2015",10,3,"Chris Hemsworth"
"Pirates of the Caribbean: At Worlds End","May 24, 2007",10,5,"Chris Hemsworth"
"Harry Potter and the Half-Blood Prince","July 15, 2009",10,19,"Chris Hemsworth"
"Star Wars Ep. VII: The Force Awakens","December 16, 2015",12,4,"Daisy Ridley"
"John Carter","March 7, 2012",12,11,"Daisy Ridley"
"The Lion King","July 11, 2019",12,14,"Daisy Ridley"
"Star Wars Ep. VII: The Force Awakens","December 16, 2015",13,4,"John Boyega"
"John Carter","March 7, 2012",13,11,"John Boyega"
"The Lion King","July 11, 2019",13,14,"John Boyega"
"Star Wars Ep. VII: The Force Awakens","December 16, 2015",14,4,"Harrison Ford"
"Avengers: Endgame","April 23, 2019",15,1,"Josh Brolin"
"Pirates of the Caribbean: At Worlds End","May 24, 2007",15,5,"Josh Brolin"
"Justice League","November 13, 2017",17,6,"Orlando Bloom"
"Man of Steel","June 14, 2013",17,30,"Orlando Bloom"
"Justice League","November 13, 2017",18,6,"Keira Knightley"
Spectre,"October 6, 2015",20,7,"Ben Affleck"
"Star Wars Ep. VIII: The Last Jedi","December 13, 2017",20,13,"Ben Affleck"
Spectre,"October 6, 2015",21,7,"Henry Cavill"
"Star Wars Ep. VIII: The Last Jedi","December 13, 2017",21,13,"Henry Cavill"
"The Chronicles of Narnia: Prince Caspian","May 16, 2008",21,31,"Henry Cavill"
Spectre,"October 6, 2015",22,7,"Gal Gadot"
"Star Wars: The Rise of Skywalker","December 18, 2019",24,9,"Daniel Craig"
Avatar,"December 17, 2009",24,24,"Daniel Craig"
"Superman Returns","June 28, 2006",24,25,"Daniel Craig"
"Star Wars: The Rise of Skywalker","December 18, 2019",25,9,"Christoph Waltz"
"Solo: A Star Wars Story","May 23, 2018",27,10,"Tom Cruise"
"Solo: A Star Wars Story","May 23, 2018",28,10,"Hayley Atwell"
"Solo: A Star Wars Story","May 23, 2018",29,10,"Simon Pegg"
"John Carter","March 7, 2012",30,11,"Adam Driver"
"Batman v Superman: Dawn of Justice","March 23, 2016",33,12,"Taylor Kitsch"
Tangled,"November 24, 2010",39,15,"Donald Glover"
Tangled,"November 24, 2010",40,15,"James Earl Jones"
"Spider-Man 3","May 4, 2007",44,16,"Mandy Moore"
"Spider-Man 3","May 4, 2007",45,16,"Zachary Levi"
"Captain America: Civil War","April 22, 2016",48,17,"Tobey Maguire"
"Captain America: Civil War","April 22, 2016",49,17,"Kirsten Dunst"
"Harry Potter and the Half-Blood Prince","July 15, 2009",53,19,"Natalie Portman"
"The Hobbit: The Desolation of Smaug","December 12, 2013",56,20,"Daniel Radcliffe"
"The Hobbit: The Desolation of Smaug","December 12, 2013",57,20,"Emma Watson"
"The Hobbit: The Battle of the Five Armies","December 10, 2014",60,21,"Martin Freeman"
"The Fate of the Furious","April 7, 2017",60,22,"Martin Freeman"
"The Hobbit: The Battle of the Five Armies","December 10, 2014",61,21,"Ian McKellen"
"The Fate of the Furious","April 7, 2017",61,22,"Ian McKellen"
"No Time to Die","September 29, 2021",64,23,"Vin Diesel"
"No Time to Die","September 29, 2021",65,23,"Dwayne Johnson"
Avatar,"December 17, 2009",67,24,"Rami Malek"
"Superman Returns","June 28, 2006",70,25,"Sam Worthington"
"Superman Returns","June 28, 2006",71,25,"Zoe Saldana"
"The Dark Knight Rises","July 19, 2012",74,26,"Brandon Routh"
"The Dark Knight Rises","July 19, 2012",75,26,"Kate Bosworth"
"Pirates of the Caribbean: Dead Men Tell No Tales","May 23, 2017",77,27,"Christian Bale"
"Pirates of the Caribbean: Dead Men Tell No Tales","May 23, 2017",78,27,"Anne Hathaway"
"Quantum of Solace","November 14, 2008",82,28,"Javier Bardem"
"Pirates of the Caribbean: Dead Mans Chest","July 6, 2006",85,29,"Olga Kurylenko"
"The Chronicles of Narnia: Prince Caspian","May 16, 2008",86,31,"Amy Adams"
"The Lone Ranger","July 2, 2013",90,32,"Ben Barnes"
"The Lone Ranger","July 2, 2013",91,32,"Anna Popplewell"
"The Amazing Spider-Man","June 27, 2012",92,33,"Armie Hammer"
Battleship,"April 11, 2012",94,34,"Andrew Garfield"
Battleship,"April 11, 2012",95,34,"Emma Stone"
"Transformers: The Last Knight","June 20, 2017",98,35,"Liam Neeson"
"Jurassic World","June 9, 2015",100,36,"Mark Wahlberg"
"Men in Black 3","May 23, 2012",100,37,"Mark Wahlberg"
"Jurassic World","June 9, 2015",101,36,"Anthony Hopkins"
"Men in Black 3","May 23, 2012",103,37,"Chris Pratt"
"Men in Black 3","May 23, 2012",104,37,"Bryce Dallas Howard"
"Transformers: Revenge of the Fallen","June 24, 2009",107,38,"Will Smith"
"Transformers: Revenge of the Fallen","June 24, 2009",108,38,"Tommy Lee Jones"
